psi_in,u_in,x_in,y_in,psi_hat,x_hat,y_hat,u_hat
2.998990,0.046841,4.664408,-0.157090,12.748061,-2.613866,-1.922584,0.578137
2.999462,0.047153,4.664316,-0.154421,12.749814,-2.616355,-1.922803,0.578163
2.999934,0.047465,4.664220,-0.151750,12.751561,-2.618844,-1.923020,0.578188
3.000406,0.047777,4.664119,-0.149080,12.753301,-2.621332,-1.923237,0.578213
3.000877,0.048089,4.664014,-0.146408,12.755034,-2.623821,-1.923452,0.578239
3.001349,0.048401,4.663904,-0.143737,12.756761,-2.626311,-1.923666,0.578264
3.001821,0.048713,4.663791,-0.141065,12.758481,-2.628800,-1.923879,0.578289
3.002292,0.049024,4.663673,-0.138392,12.760195,-2.631289,-1.924091,0.578314
3.002763,0.049336,4.663550,-0.135719,12.761902,-2.633779,-1.924302,0.578339
3.003234,0.049647,4.663423,-0.133045,12.763602,-2.636269,-1.924511,0.578364
3.003706,0.049959,4.663292,-0.130371,12.765296,-2.638759,-1.924720,0.578389
3.004177,0.050270,4.663157,-0.127696,12.766983,-2.641249,-1.924927,0.578414
3.004647,0.050581,4.663017,-0.125021,12.768663,-2.643739,-1.925133,0.578438
3.005118,0.050892,4.662873,-0.122345,12.770337,-2.646230,-1.925338,0.578463
3.005589,0.051203,4.662725,-0.119669,12.772004,-2.648720,-1.925541,0.578488
3.006059,0.051514,4.662572,-0.116993,12.773665,-2.651211,-1.925744,0.578512
3.006530,0.051825,4.662415,-0.114316,12.775319,-2.653702,-1.925945,0.578536
3.007000,0.052135,4.662254,-0.111638,12.776966,-2.656193,-1.926145,0.578561
3.007470,0.052446,4.662088,-0.108960,12.778607,-2.658684,-1.926344,0.578585
3.007940,0.052756,4.661918,-0.106282,12.780241,-2.661175,-1.926542,0.578609
3.008410,0.053067,4.661744,-0.103603,12.781869,-2.663667,-1.926739,0.578634
3.008880,0.053377,4.661565,-0.100924,12.783490,-2.666159,-1.926934,0.578658
3.009350,0.053687,4.661382,-0.098244,12.785105,-2.668650,-1.927129,0.578682
3.009820,0.053997,4.661195,-0.095564,12.786712,-2.671142,-1.927322,0.578706
3.010289,0.054307,4.661003,-0.092883,12.788314,-2.673634,-1.927514,0.578730
3.010759,0.054617,4.660807,-0.090202,12.789908,-2.676127,-1.927705,0.578754
3.011228,0.054927,4.660607,-0.087521,12.791496,-2.678619,-1.927894,0.578777
3.011697,0.055237,4.660402,-0.084839,12.793078,-2.681112,-1.928083,0.578801
3.012166,0.055546,4.660194,-0.082157,12.794653,-2.683604,-1.928270,0.578825
3.012636,0.055856,4.659980,-0.079474,12.796221,-2.686097,-1.928456,0.578848
3.013104,0.056165,4.659763,-0.076791,12.797783,-2.688590,-1.928641,0.578872
3.013573,0.056474,4.659541,-0.074107,12.799338,-2.691083,-1.928825,0.578895
3.014042,0.056784,4.659315,-0.071424,12.800886,-2.693577,-1.929008,0.578919
3.014511,0.057093,4.659085,-0.068739,12.802428,-2.696070,-1.929189,0.578942
3.014979,0.057402,4.658850,-0.066054,12.803964,-2.698563,-1.929370,0.578965
3.015447,0.057711,4.658611,-0.063369,12.805493,-2.701057,-1.929549,0.578989
3.015916,0.058020,4.658367,-0.060684,12.807015,-2.703551,-1.929727,0.579012
3.016384,0.058328,4.658120,-0.057998,12.808531,-2.706045,-1.929904,0.579035
3.016852,0.058637,4.657868,-0.055312,12.810040,-2.708539,-1.930080,0.579058
3.017320,0.058946,4.657612,-0.052625,12.811542,-2.711033,-1.930254,0.579081
3.017788,0.059254,4.657351,-0.049938,12.813038,-2.713528,-1.930428,0.579104
3.018255,0.059562,4.657086,-0.047251,12.814528,-2.716022,-1.930600,0.579126
3.018723,0.059871,4.656817,-0.044563,12.816010,-2.718517,-1.930771,0.579149
3.019191,0.060179,4.656544,-0.041875,12.817487,-2.721012,-1.930941,0.579172
3.019658,0.060487,4.656266,-0.039186,12.818956,-2.723507,-1.931110,0.579195
3.020125,0.060795,4.655984,-0.036497,12.820419,-2.726002,-1.931277,0.579217
3.020593,0.061103,4.655697,-0.033808,12.821876,-2.728497,-1.931444,0.579240
3.021060,0.061411,4.655407,-0.031118,12.823326,-2.730992,-1.931609,0.579262
3.021527,0.061718,4.655112,-0.028428,12.824769,-2.733488,-1.931773,0.579285
3.021994,0.062026,4.654813,-0.025738,12.826206,-2.735983,-1.931936,0.579307
3.022460,0.062333,4.654509,-0.023047,12.827637,-2.738479,-1.932098,0.579329
3.022927,0.062641,4.654201,-0.020357,12.829060,-2.740975,-1.932258,0.579351
3.023394,0.062948,4.653889,-0.017665,12.830478,-2.743471,-1.932418,0.579374
3.023860,0.063255,4.653573,-0.014974,12.831888,-2.745967,-1.932576,0.579396
3.024327,0.063562,4.653252,-0.012282,12.833293,-2.748463,-1.932733,0.579418
3.024793,0.063869,4.652927,-0.009589,12.834690,-2.750960,-1.932889,0.579440
3.025259,0.064176,4.652598,-0.006897,12.836081,-2.753456,-1.933044,0.579462
3.025725,0.064483,4.652264,-0.004204,12.837466,-2.755953,-1.933198,0.579483
3.026191,0.064790,4.651926,-0.001511,12.838844,-2.758449,-1.933350,0.579505
3.026657,0.065096,4.651584,0.001183,12.840215,-2.760946,-1.933502,0.579527
3.027123,0.065403,4.651237,0.003877,12.841580,-2.763443,-1.933652,0.579549
3.027588,0.065709,4.650887,0.006571,12.842938,-2.765940,-1.933801,0.579570
3.028054,0.066016,4.650532,0.009265,12.844290,-2.768438,-1.933949,0.579592
3.028519,0.066322,4.650172,0.011960,12.845635,-2.770935,-1.934096,0.579613
3.028985,0.066628,4.649809,0.014655,12.846974,-2.773432,-1.934241,0.579635
3.029450,0.066934,4.649441,0.017351,12.848306,-2.775930,-1.934386,0.579656
3.029915,0.067240,4.649069,0.020046,12.849632,-2.778428,-1.934529,0.579677
3.030380,0.067546,4.648692,0.022742,12.850951,-2.780926,-1.934671,0.579699
3.030845,0.067852,4.648312,0.025438,12.852264,-2.783424,-1.934812,0.579720
3.031310,0.068157,4.647927,0.028135,12.853570,-2.785922,-1.934952,0.579741
3.031775,0.068463,4.647537,0.030831,12.854869,-2.788420,-1.935090,0.579762
3.032239,0.068768,4.647144,0.033528,12.856162,-2.790918,-1.935228,0.579783
3.032704,0.069074,4.646746,0.036226,12.857449,-2.793417,-1.935364,0.579804
3.033168,0.069379,4.646344,0.038923,12.858729,-2.795915,-1.935499,0.579825
3.033633,0.069684,4.645937,0.041621,12.860002,-2.798414,-1.935633,0.579846
3.034097,0.069989,4.645527,0.044319,12.861269,-2.800913,-1.935766,0.579867
3.034561,0.070294,4.645112,0.047017,12.862529,-2.803411,-1.935898,0.579887
3.035025,0.070599,4.644693,0.049716,12.863783,-2.805910,-1.936028,0.579908
3.035489,0.070904,4.644269,0.052415,12.865031,-2.808409,-1.936158,0.579929
3.035953,0.071208,4.643841,0.055114,12.866272,-2.810909,-1.936286,0.579949
3.036417,0.071513,4.643409,0.057813,12.867506,-2.813408,-1.936413,0.579970
3.036880,0.071817,4.642973,0.060512,12.868734,-2.815907,-1.936539,0.579990
3.037344,0.072122,4.642533,0.063212,12.869955,-2.818407,-1.936664,0.580011
3.037807,0.072426,4.642088,0.065912,12.871170,-2.820907,-1.936787,0.580031
3.038270,0.072730,4.641639,0.068612,12.872378,-2.823406,-1.936910,0.580051
3.038734,0.073034,4.641185,0.071313,12.873580,-2.825906,-1.937031,0.580071
3.039197,0.073338,4.640728,0.074013,12.874775,-2.828406,-1.937151,0.580092
3.039660,0.073642,4.640266,0.076714,12.875964,-2.830906,-1.937270,0.580112
3.040123,0.073946,4.639800,0.079415,12.877146,-2.833406,-1.937388,0.580132
3.040586,0.074250,4.639329,0.082116,12.878322,-2.835907,-1.937505,0.580152
3.041048,0.074553,4.638855,0.084818,12.879492,-2.838407,-1.937620,0.580172
3.041511,0.074857,4.638376,0.087519,12.880654,-2.840908,-1.937735,0.580192
3.041974,0.075160,4.637893,0.090221,12.881811,-2.843408,-1.937848,0.580212
3.042436,0.075463,4.637405,0.092923,12.882961,-2.845909,-1.937960,0.580231
3.042898,0.075767,4.636914,0.095625,12.884104,-2.848410,-1.938071,0.580251
3.043361,0.076070,4.636418,0.098328,12.885241,-2.850911,-1.938181,0.580271
3.043823,0.076373,4.635917,0.101030,12.886371,-2.853412,-1.938289,0.580290
3.044285,0.076676,4.635413,0.103733,12.887495,-2.855913,-1.938397,0.580310
3.044747,0.076978,4.634904,0.106436,12.888612,-2.858414,-1.938503,0.580330
3.045209,0.077281,4.634391,0.109139,12.889723,-2.860915,-1.938608,0.580349
3.045670,0.077584,4.633874,0.111842,12.890828,-2.863416,-1.938712,0.580368
3.046132,0.077886,4.633353,0.114546,12.891926,-2.865918,-1.938815,0.580388
3.046593,0.078189,4.632827,0.117249,12.893017,-2.868420,-1.938917,0.580407
3.047055,0.078491,4.632297,0.119953,12.894102,-2.870921,-1.939017,0.580426
3.047516,0.078793,4.631763,0.122657,12.895181,-2.873423,-1.939117,0.580446
3.047978,0.079095,4.631225,0.125361,12.896253,-2.875925,-1.939215,0.580465
3.048439,0.079397,4.630682,0.128065,12.897318,-2.878427,-1.939312,0.580484
3.048900,0.079699,4.630135,0.130770,12.898377,-2.880929,-1.939408,0.580503
3.049361,0.080001,4.629584,0.133474,12.899430,-2.883431,-1.939503,0.580522
3.049822,0.080303,4.629029,0.136179,12.900476,-2.885933,-1.939596,0.580541
3.050282,0.080604,4.628469,0.138884,12.901516,-2.888435,-1.939689,0.580560
3.050743,0.080906,4.627905,0.141588,12.902549,-2.890938,-1.939780,0.580578
3.051204,0.081207,4.627337,0.144293,12.903576,-2.893440,-1.939870,0.580597
3.051664,0.081508,4.626765,0.146999,12.904596,-2.895943,-1.939959,0.580616
3.052124,0.081810,4.626188,0.149704,12.905610,-2.898446,-1.940047,0.580635
3.052585,0.082111,4.625607,0.152409,12.906617,-2.900948,-1.940134,0.580653
3.053045,0.082412,4.625022,0.155115,12.907618,-2.903451,-1.940219,0.580672
3.053505,0.082713,4.624433,0.157820,12.908612,-2.905954,-1.940304,0.580690
3.053965,0.083013,4.623839,0.160526,12.909600,-2.908457,-1.940387,0.580709
3.054425,0.083314,4.623242,0.163232,12.910582,-2.910960,-1.940469,0.580727
3.054885,0.083615,4.622640,0.165938,12.911557,-2.913463,-1.940550,0.580746
3.055344,0.083915,4.622033,0.168644,12.912525,-2.915967,-1.940630,0.580764
3.055804,0.084216,4.621423,0.171350,12.913488,-2.918470,-1.940709,0.580782
3.056264,0.084516,4.620808,0.174056,12.914443,-2.920973,-1.940786,0.580800
3.056723,0.084816,4.620190,0.176762,12.915393,-2.923477,-1.940863,0.580819
3.057182,0.085116,4.619566,0.179469,12.916335,-2.925981,-1.940938,0.580837
3.057642,0.085416,4.618939,0.182175,12.917272,-2.928484,-1.941012,0.580855
3.058101,0.085716,4.618308,0.184882,12.918202,-2.930988,-1.941085,0.580873
3.058560,0.086016,4.617672,0.187588,12.919125,-2.933492,-1.941157,0.580891
3.059019,0.086315,4.617032,0.190295,12.920042,-2.935996,-1.941228,0.580909
3.059478,0.086615,4.616388,0.193002,12.920953,-2.938500,-1.941297,0.580927
3.059936,0.086915,4.615739,0.195709,12.921857,-2.941004,-1.941366,0.580944
3.060395,0.087214,4.615087,0.198415,12.922755,-2.943508,-1.941433,0.580962
3.060854,0.087513,4.614430,0.201122,12.923646,-2.946012,-1.941499,0.580980
3.061312,0.087812,4.613769,0.203829,12.924531,-2.948516,-1.941564,0.580998
3.061770,0.088112,4.613103,0.206536,12.925409,-2.951021,-1.941628,0.581015
3.062229,0.088410,4.612434,0.209243,12.926281,-2.953525,-1.941690,0.581033
3.062687,0.088709,4.611760,0.211951,12.927147,-2.956030,-1.941752,0.581050
3.063145,0.089008,4.611082,0.214658,12.928006,-2.958534,-1.941812,0.581068
3.063603,0.089307,4.610400,0.217365,12.928859,-2.961039,-1.941871,0.581085
3.064061,0.089605,4.609714,0.220072,12.929705,-2.963544,-1.941929,0.581103
3.064519,0.089904,4.609023,0.222779,12.930545,-2.966048,-1.941986,0.581120
3.064976,0.090202,4.608329,0.225487,12.931378,-2.968553,-1.942042,0.581137
3.065434,0.090501,4.607630,0.228194,12.932205,-2.971058,-1.942097,0.581155
3.065892,0.090799,4.606926,0.230901,12.933026,-2.973563,-1.942150,0.581172
3.066349,0.091097,4.606219,0.233609,12.933840,-2.976068,-1.942202,0.581189
3.066806,0.091395,4.605507,0.236316,12.934648,-2.978573,-1.942254,0.581206
3.067264,0.091693,4.604792,0.239023,12.935449,-2.981079,-1.942304,0.581223
3.067721,0.091990,4.604072,0.241731,12.936244,-2.983584,-1.942353,0.581240
3.068178,0.092288,4.603348,0.244438,12.937032,-2.986089,-1.942400,0.581257
3.068635,0.092586,4.602619,0.247145,12.937815,-2.988595,-1.942447,0.581274
3.069092,0.092883,4.601887,0.249853,12.938590,-2.991100,-1.942492,0.581291
3.069548,0.093180,4.601150,0.252560,12.939360,-2.993605,-1.942537,0.581308
3.070005,0.093478,4.600409,0.255267,12.940122,-2.996111,-1.942580,0.581324
3.070462,0.093775,4.599664,0.257975,12.940879,-2.998617,-1.942622,0.581341
3.070918,0.094072,4.598915,0.260682,12.941629,-3.001122,-1.942663,0.581358
3.071375,0.094369,4.598161,0.263389,12.942373,-3.003628,-1.942703,0.581375
3.071831,0.094666,4.597403,0.266097,12.943110,-3.006134,-1.942741,0.581391
3.072287,0.094962,4.596641,0.268804,12.943841,-3.008640,-1.942779,0.581408
3.072743,0.095259,4.595875,0.271511,12.944565,-3.011146,-1.942815,0.581424
3.073199,0.095556,4.595105,0.274218,12.945283,-3.013652,-1.942850,0.581441
3.073655,0.095852,4.594331,0.276925,12.945995,-3.016158,-1.942884,0.581457
3.074111,0.096148,4.593552,0.279633,12.946700,-3.018664,-1.942917,0.581473
3.074567,0.096445,4.592769,0.282340,12.947399,-3.021170,-1.942949,0.581490
3.075023,0.096741,4.591982,0.285047,12.948092,-3.023676,-1.942980,0.581506
3.075478,0.097037,4.591191,0.287754,12.948778,-3.026183,-1.943009,0.581522
3.075934,0.097333,4.590396,0.290461,12.949458,-3.028689,-1.943037,0.581538
3.076389,0.097628,4.589596,0.293167,12.950131,-3.031195,-1.943065,0.581555
3.076844,0.097924,4.588793,0.295874,12.950798,-3.033702,-1.943091,0.581571
3.077300,0.098220,4.587985,0.298581,12.951458,-3.036208,-1.943116,0.581587
3.077755,0.098515,4.587173,0.301288,12.952113,-3.038715,-1.943139,0.581603
3.078210,0.098811,4.586356,0.303994,12.952760,-3.041222,-1.943162,0.581619
3.078665,0.099106,4.585536,0.306701,12.953402,-3.043728,-1.943184,0.581635
3.079120,0.099401,4.584711,0.309407,12.954037,-3.046235,-1.943204,0.581650
3.079574,0.099696,4.583883,0.312114,12.954666,-3.048742,-1.943223,0.581666
3.080029,0.099991,4.583050,0.314820,12.955288,-3.051248,-1.943241,0.581682
3.080484,0.100286,4.582213,0.317526,12.955904,-3.053755,-1.943258,0.581698
3.080938,0.100581,4.581371,0.320232,12.956513,-3.056262,-1.943274,0.581714
3.081392,0.100876,4.580526,0.322938,12.957117,-3.058769,-1.943289,0.581729
3.081847,0.101170,4.579676,0.325644,12.957713,-3.061276,-1.943302,0.581745
3.082301,0.101465,4.578823,0.328350,12.958304,-3.063783,-1.943315,0.581760
3.082755,0.101759,4.577965,0.331056,12.958888,-3.066290,-1.943326,0.581776
3.083209,0.102053,4.577103,0.333761,12.959466,-3.068797,-1.943336,0.581791
3.083663,0.102348,4.576237,0.336467,12.960037,-3.071305,-1.943345,0.581807
3.084117,0.102642,4.575366,0.339172,12.960602,-3.073812,-1.943353,0.581822
3.084571,0.102936,4.574492,0.341877,12.961161,-3.076319,-1.943360,0.581838
3.085024,0.103229,4.573613,0.344583,12.961713,-3.078826,-1.943365,0.581853
3.085478,0.103523,4.572730,0.347288,12.962259,-3.081334,-1.943370,0.581868
3.085931,0.103817,4.571843,0.349993,12.962799,-3.083841,-1.943373,0.581883
3.086385,0.104110,4.570952,0.352697,12.963332,-3.086348,-1.943375,0.581899
3.086838,0.104404,4.570057,0.355402,12.963859,-3.088856,-1.943376,0.581914
3.087291,0.104697,4.569157,0.358107,12.964379,-3.091363,-1.943376,0.581929
3.087744,0.104990,4.568254,0.360811,12.964893,-3.093871,-1.943375,0.581944
3.088197,0.105283,4.567346,0.363515,12.965401,-3.096379,-1.943372,0.581959
3.088650,0.105576,4.566434,0.366219,12.965903,-3.098886,-1.943369,0.581974
3.089103,0.105869,4.565518,0.368923,12.966398,-3.101394,-1.943364,0.581989
3.089556,0.106162,4.564598,0.371627,12.966887,-3.103901,-1.943359,0.582004
3.090009,0.106455,4.563673,0.374331,12.967369,-3.106409,-1.943352,0.582019
3.090461,0.106748,4.562745,0.377034,12.967845,-3.108917,-1.943344,0.582033
3.090914,0.107040,4.561812,0.379738,12.968315,-3.111425,-1.943334,0.582048
3.091366,0.107332,4.560876,0.382441,12.968778,-3.113933,-1.943324,0.582063
3.091818,0.107625,4.559935,0.385144,12.969235,-3.116440,-1.943313,0.582078
3.092271,0.107917,4.558990,0.387847,12.969686,-3.118948,-1.943300,0.582092
3.092723,0.108209,4.558041,0.390549,12.970131,-3.121456,-1.943286,0.582107
3.093175,0.108501,4.557087,0.393252,12.970569,-3.123964,-1.943271,0.582121
3.093627,0.108793,4.556130,0.395954,12.971001,-3.126472,-1.943255,0.582136
3.094079,0.109085,4.555169,0.398656,12.971426,-3.128980,-1.943238,0.582150
3.094530,0.109376,4.554203,0.401358,12.971845,-3.131488,-1.943220,0.582165
3.094982,0.109668,4.553233,0.404060,12.972258,-3.133996,-1.943201,0.582179
3.095434,0.109959,4.552259,0.406761,12.972664,-3.136504,-1.943180,0.582194
3.095885,0.110251,4.551281,0.409463,12.973064,-3.139013,-1.943159,0.582208
3.096337,0.110542,4.550299,0.412164,12.973458,-3.141521,-1.943136,0.582222
3.096788,0.110833,4.549313,0.414865,12.973846,-3.144029,-1.943112,0.582237
3.097239,0.111124,4.548322,0.417566,12.974227,-3.146537,-1.943087,0.582251
3.097690,0.111415,4.547328,0.420266,12.974602,-3.149045,-1.943061,0.582265
3.098141,0.111706,4.546329,0.422967,12.974970,-3.151554,-1.943033,0.582279
3.098592,0.111996,4.545326,0.425667,12.975333,-3.154062,-1.943005,0.582293
3.099043,0.112287,4.544319,0.428367,12.975688,-3.156570,-1.942975,0.582307
3.099494,0.112577,4.543308,0.431066,12.976038,-3.159078,-1.942945,0.582321
3.099945,0.112868,4.542293,0.433766,12.976381,-3.161587,-1.942913,0.582335
3.100395,0.113158,4.541274,0.436465,12.976718,-3.164095,-1.942880,0.582349
3.100846,0.113448,4.540251,0.439164,12.977049,-3.166604,-1.942846,0.582363
3.101296,0.113738,4.539223,0.441863,12.977373,-3.169112,-1.942810,0.582377
3.101747,0.114028,4.538192,0.444561,12.977691,-3.171620,-1.942774,0.582391
3.102197,0.114318,4.537156,0.447259,12.978003,-3.174129,-1.942737,0.582405
3.102647,0.114608,4.536116,0.449958,12.978309,-3.176637,-1.942698,0.582418
3.103097,0.114898,4.535072,0.452655,12.978608,-3.179146,-1.942658,0.582432
3.103547,0.115187,4.534024,0.455353,12.978901,-3.181654,-1.942617,0.582446
3.103997,0.115477,4.532972,0.458050,12.979187,-3.184163,-1.942575,0.582459
3.104447,0.115766,4.531916,0.460747,12.979468,-3.186671,-1.942532,0.582473
3.104897,0.116055,4.530856,0.463444,12.979742,-3.189180,-1.942488,0.582486
3.105346,0.116344,4.529791,0.466141,12.980009,-3.191689,-1.942443,0.582500
3.105796,0.116633,4.528723,0.468837,12.980271,-3.194197,-1.942396,0.582513
3.106245,0.116922,4.527650,0.471533,12.980526,-3.196706,-1.942348,0.582527
3.106695,0.117211,4.526574,0.474229,12.980775,-3.199214,-1.942300,0.582540
3.107144,0.117500,4.525493,0.476924,12.981017,-3.201723,-1.942250,0.582554
3.107593,0.117788,4.524408,0.479619,12.981253,-3.204232,-1.942199,0.582567
3.108042,0.118077,4.523319,0.482314,12.981483,-3.206740,-1.942147,0.582580
3.108491,0.118365,4.522226,0.485009,12.981707,-3.209249,-1.942093,0.582594
3.108940,0.118653,4.521129,0.487703,12.981924,-3.211758,-1.942039,0.582607
3.109389,0.118941,4.520028,0.490397,12.982136,-3.214266,-1.941983,0.582620
3.109838,0.119230,4.518923,0.493091,12.982340,-3.216775,-1.941927,0.582633
3.110287,0.119517,4.517813,0.495784,12.982539,-3.219284,-1.941869,0.582646
3.110735,0.119805,4.516700,0.498477,12.982731,-3.221792,-1.941810,0.582659
3.111184,0.120093,4.515582,0.501170,12.982917,-3.224301,-1.941750,0.582672
3.111632,0.120381,4.514461,0.503863,12.983097,-3.226810,-1.941689,0.582685
3.112080,0.120668,4.513335,0.506555,12.983271,-3.229319,-1.941627,0.582698
3.112529,0.120956,4.512205,0.509247,12.983438,-3.231827,-1.941563,0.582711
3.112977,0.121243,4.511071,0.511938,12.983599,-3.234336,-1.941499,0.582724
3.113425,0.121530,4.509933,0.514630,12.983753,-3.236845,-1.941433,0.582737
3.113873,0.121817,4.508791,0.517321,12.983902,-3.239353,-1.941366,0.582750
3.114321,0.122104,4.507645,0.520011,12.984044,-3.241862,-1.941298,0.582763
3.114769,0.122391,4.506495,0.522701,12.984180,-3.244371,-1.941229,0.582775
3.115216,0.122678,4.505341,0.525391,12.984310,-3.246880,-1.941159,0.582788
3.115664,0.122964,4.504183,0.528081,12.984433,-3.249389,-1.941088,0.582801
3.116111,0.123251,4.503020,0.530770,12.984550,-3.251897,-1.941015,0.582814
3.116559,0.123537,4.501854,0.533459,12.984661,-3.254406,-1.940942,0.582826
3.117006,0.123824,4.500683,0.536148,12.984766,-3.256915,-1.940867,0.582839
3.117453,0.124110,4.499509,0.538836,12.984864,-3.259424,-1.940791,0.582851
3.117901,0.124396,4.498330,0.541524,12.984956,-3.261932,-1.940715,0.582864
3.118348,0.124682,4.497148,0.544212,12.985042,-3.264441,-1.940637,0.582876
3.118795,0.124968,4.495961,0.546899,12.985122,-3.266950,-1.940557,0.582889
3.119242,0.125254,4.494770,0.549586,12.985195,-3.269459,-1.940477,0.582901
3.119689,0.125539,4.493575,0.552272,12.985262,-3.271967,-1.940396,0.582913
3.120135,0.125825,4.492377,0.554958,12.985323,-3.274476,-1.940313,0.582926
3.120582,0.126110,4.491174,0.557644,12.985378,-3.276985,-1.940230,0.582938
3.121029,0.126396,4.489967,0.560330,12.985426,-3.279494,-1.940145,0.582950
3.121475,0.126681,4.488756,0.563015,12.985468,-3.282002,-1.940059,0.582963
3.121921,0.126966,4.487541,0.565699,12.985504,-3.284511,-1.939972,0.582975
3.122368,0.127251,4.486321,0.568383,12.985534,-3.287020,-1.939884,0.582987
3.122814,0.127536,4.485098,0.571067,12.985557,-3.289528,-1.939795,0.582999
3.123260,0.127821,4.483871,0.573751,12.985575,-3.292037,-1.939704,0.583011
3.123706,0.128106,4.482640,0.576434,12.985586,-3.294546,-1.939613,0.583023
3.124152,0.128390,4.481405,0.579117,12.985590,-3.297054,-1.939520,0.583035
3.124598,0.128675,4.480165,0.581799,12.985589,-3.299563,-1.939427,0.583047
3.125044,0.128959,4.478922,0.584481,12.985581,-3.302072,-1.939332,0.583059
3.125490,0.129243,4.477674,0.587162,12.985567,-3.304580,-1.939236,0.583071
3.125935,0.129527,4.476423,0.589843,12.985547,-3.307089,-1.939139,0.583083
3.126381,0.129811,4.475168,0.592524,12.985521,-3.309598,-1.939040,0.583095
3.126826,0.130095,4.473908,0.595204,12.985488,-3.312106,-1.938941,0.583107
3.127272,0.130379,4.472644,0.597884,12.985449,-3.314615,-1.938841,0.583119
3.127717,0.130663,4.471377,0.600564,12.985404,-3.317123,-1.938739,0.583130
3.128162,0.130947,4.470105,0.603243,12.985353,-3.319632,-1.938637,0.583142
3.128607,0.131230,4.468830,0.605921,12.985296,-3.322141,-1.938533,0.583154
3.129052,0.131513,4.467550,0.608600,12.985232,-3.324649,-1.938428,0.583166
3.129497,0.131797,4.466266,0.611277,12.985162,-3.327158,-1.938322,0.583177
3.129942,0.132080,4.464979,0.613955,12.985086,-3.329666,-1.938215,0.583189
3.130387,0.132363,4.463687,0.616632,12.985004,-3.332175,-1.938106,0.583200
